                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.7242,                 1.3458,                 1.2536,                0.85418,                0.84944,                0.90847,                0.76652,                0.59657,                0.59006,                 1.1763,               0.006535,               0.006535,               0.006535
                     37,                0.72109,                 1.3354,                 1.2501,                0.85739,                0.84753,                0.90918,                0.76756,                0.59444,                 0.5868,                 1.1738,               0.006436,               0.006436,               0.006436
                     38,                0.72089,                 1.3304,                 1.2504,                0.85802,                0.84806,                 0.9103,                0.76971,                0.59253,                0.58315,                 1.1714,               0.006337,               0.006337,               0.006337
                     39,                0.71693,                 1.3182,                 1.2478,                0.85558,                 0.8519,                0.91128,                0.77123,                 0.5907,                0.57959,                 1.1687,               0.006238,               0.006238,               0.006238
                     40,                0.71281,                 1.3087,                 1.2448,                0.85923,                0.85005,                0.91222,                0.77309,                0.58882,                0.57639,                  1.166,               0.006139,               0.006139,               0.006139
                     41,                0.70967,                 1.2999,                 1.2418,                0.85877,                 0.8529,                0.91297,                0.77468,                0.58705,                0.57304,                 1.1635,                0.00604,                0.00604,                0.00604
                     42,                0.70768,                 1.2842,                 1.2386,                0.86461,                0.84998,                0.91407,                0.77677,                0.58526,                0.56989,                 1.1609,               0.005941,               0.005941,               0.005941
                     43,                 0.7014,                 1.2807,                 1.2365,                0.86434,                0.85102,                0.91491,                0.77886,                0.58371,                0.56676,                 1.1585,               0.005842,               0.005842,               0.005842
                     44,                0.69824,                 1.2674,                 1.2347,                0.86611,                0.85148,                0.91598,                0.78092,                 0.5822,                0.56316,                 1.1558,               0.005743,               0.005743,               0.005743
                     45,                0.69431,                 1.2531,                 1.2308,                0.86655,                0.85362,                0.91704,                0.78259,                0.58066,                0.56014,                 1.1534,               0.005644,               0.005644,               0.005644
                     46,                0.69221,                 1.2534,                 1.2311,                0.87102,                0.85196,                0.91812,                0.78415,                0.57926,                0.55724,                 1.1511,               0.005545,               0.005545,               0.005545
                     47,                0.68966,                 1.2313,                 1.2277,                0.86928,                0.85584,                0.91909,                0.78554,                0.57776,                0.55406,                 1.1489,               0.005446,               0.005446,               0.005446
                     48,                0.68615,                 1.2305,                 1.2254,                0.86862,                0.85803,                0.92003,                0.78671,                0.57606,                0.55107,                 1.1464,               0.005347,               0.005347,               0.005347
                     49,                0.68195,                 1.2213,                 1.2233,                0.86838,                0.86058,                0.92109,                0.78815,                0.57416,                0.54782,                 1.1435,               0.005248,               0.005248,               0.005248
                     50,                 0.6807,                 1.2146,                 1.2219,                0.87422,                0.85818,                0.92225,                0.79015,                0.57256,                0.54489,                 1.1411,               0.005149,               0.005149,               0.005149
                     51,                0.67689,                 1.2009,                  1.218,                0.87612,                0.85781,                0.92292,                 0.7919,                0.57093,                0.54217,                 1.1384,                0.00505,                0.00505,                0.00505
                     52,                0.67607,                 1.1941,                 1.2195,                 0.8763,                0.85869,                0.92367,                0.79357,                0.56954,                0.53909,                  1.136,               0.004951,               0.004951,               0.004951
                     53,                0.66985,                 1.1798,                 1.2142,                0.87132,                0.86482,                0.92472,                0.79562,                0.56824,                0.53574,                 1.1337,               0.004852,               0.004852,               0.004852
                     54,                0.66961,                 1.1788,                 1.2125,                0.87012,                 0.8694,                0.92594,                0.79713,                0.56701,                0.53256,                 1.1316,               0.004753,               0.004753,               0.004753
